0.00,22.75
10.00,22.74
30.00,22.73
40.00,22.72
50.00,22.73
60.00,22.75
70.00,22.73
80.00,22.75
90.00,22.74
100.00,22.74
150.00,22.73
160.00,22.74
170.00,22.74
180.00,22.75
210.00,22.73
220.00,22.74
230.00,22.75
240.00,22.74
280.00,22.76
290.00,22.75
300.00,22.75
310.00,22.76
350.00,22.75
360.00,22.75
370.00,22.76
380.00,22.76
390.00,22.75
400.00,22.76
410.00,22.76
420.00,22.75
430.00,22.75
440.00,22.74
450.00,22.75
460.00,22.76
470.00,22.76
480.00,22.74
490.00,22.76
550.00,22.75
580.00,22.76
590.00,22.76
600.00,22.75
610.00,22.76
620.00,22.75
630.00,22.76
640.00,22.75
650.00,22.76
660.00,22.76
670.00,22.76
680.00,22.75
690.00,22.76
730.00,22.75
740.00,22.77
750.00,22.75
790.00,22.76
800.00,22.76
810.00,22.75
820.00,22.76
830.00,22.76
840.00,22.75
850.00,22.77
880.00,22.75
890.00,22.77
900.00,22.76
910.00,22.77
920.00,22.75
930.00,22.76
940.00,22.76
950.00,22.77
960.00,22.75
970.00,22.76
980.00,22.76
990.00,22.77
1000.00,22.76
1010.00,22.76
1020.00,22.75
1030.00,22.77
1040.00,22.76
1080.00,22.77
1090.00,22.76
1100.00,22.75
1110.00,22.75
1120.00,22.76
1170.00,22.77
1180.00,22.77
1190.00,22.76
1200.00,22.77
1210.00,22.76
1220.00,22.77
1230.00,22.76
1240.00,22.77
1270.00,22.76
1280.00,22.77
1290.00,22.75
1300.00,22.76
1320.00,22.79
1330.00,22.76
1350.00,22.77
1360.00,22.76
1380.00,22.78
1390.00,22.76
1400.00,22.76
1410.00,22.77
1420.00,22.78
1430.00,22.76
1440.00,22.77
1450.00,22.76
1460.00,22.79
1470.00,22.76
1480.00,22.77
1490.00,22.77
1500.00,22.78
1510.00,22.77
1520.00,22.77
1530.00,22.76
1540.00,22.77
1550.00,22.78
1560.00,22.78
1570.00,22.77
1580.00,22.78
1590.00,22.76
1600.00,22.76
1610.00,22.77
1620.00,22.81
1630.00,22.77
1640.00,22.78
1650.00,22.78
1660.00,22.77
1670.00,22.77
1680.00,22.79
1690.00,22.77
1700.00,22.79
1710.00,22.79
1720.00,22.80
1730.00,22.77
1740.00,22.78
1750.00,22.78
1760.00,22.80
1770.00,22.82
1780.00,22.78
1790.00,22.80
1800.00,22.81
1810.00,22.77
1820.00,22.77
1830.00,22.78
1840.00,22.77
1850.00,22.79
1860.00,22.80
1870.00,22.79
1880.00,22.77
1890.00,22.82
1900.00,22.81
1910.00,22.78
1920.00,22.80
1930.00,22.79
1940.00,22.79
1950.00,22.80
1960.00,22.80
1970.00,22.82
1980.00,22.80
1990.00,22.82
2000.00,22.79
2010.00,22.77
2020.00,22.80
2030.00,22.78
2040.00,22.81
2050.00,22.83
2060.00,22.79
2070.00,22.80
2080.00,22.80
2090.00,22.82
2100.00,22.79
2110.00,22.80
2120.00,22.82
2130.00,22.82
2140.00,22.80
2150.00,22.81
2160.00,22.82
2170.00,22.81
2180.00,22.83
2190.00,22.82
2200.00,22.81
2210.00,22.83
2240.00,22.81
2250.00,22.83
2260.00,22.82
2270.00,22.83
2280.00,22.83
2290.00,22.84
2300.00,22.83
2310.00,22.84
2320.00,22.83
2330.00,22.83
2340.00,22.82
2350.00,22.83
2360.00,22.83
2370.00,22.84
2380.00,22.83
2390.00,22.84
2400.00,22.83
2410.00,22.84
2420.00,22.83
2460.00,22.85
2470.00,22.83
2520.00,22.84
2530.00,22.84
2540.00,22.84
2550.00,22.83
2570.00,22.82
2580.00,22.83
2610.00,22.84
2620.00,22.85
2630.00,22.83
2660.00,22.85
2670.00,22.85
2680.00,22.83
2690.00,22.84
2700.00,22.84
2710.00,22.83
2720.00,22.84
2740.00,22.85
2750.00,22.84
2780.00,22.85
2790.00,22.84
2800.00,22.85
2810.00,22.83
2820.00,22.84
2870.00,22.83
2880.00,22.84
2890.00,22.85
2900.00,22.85
2910.00,22.84
2920.00,22.84
2930.00,22.83
2940.00,22.83
2950.00,22.84
2960.00,22.83
2970.00,22.83
2980.00,22.84
2990.00,22.84
3000.00,22.83
3060.00,22.84
3070.00,22.83
3080.00,22.83
3090.00,22.84
